review;original score;predicted score;distance
https://stepik.org/review/reviews/1213780;0;13,93;13,93
https://stepik.org/review/reviews/1213313;0;13,92;13,92
https://stepik.org/review/reviews/1213768;0;13,88;13,88
https://stepik.org/review/reviews/1184381;0;13,64;13,64
https://stepik.org/review/reviews/1175905;1;12,09;11,09
https://stepik.org/review/reviews/1197816;3;13,97;10,97
https://stepik.org/review/reviews/1267616;2;12,78;10,78
https://stepik.org/review/reviews/1203897;3;13,73;10,73
https://stepik.org/review/reviews/1161418;14;3,99;10,01
https://stepik.org/review/reviews/1159109;14;3,99;10,01
https://stepik.org/review/reviews/1201786;4;13,99;9,99
https://stepik.org/review/reviews/1201816;4;13,77;9,77
https://stepik.org/review/reviews/1208154;3;12,09;9,09
https://stepik.org/review/reviews/1210793;5;13,98;8,98
https://stepik.org/review/reviews/1209675;5;13,93;8,93
https://stepik.org/review/reviews/1267684;5;13,93;8,93
https://stepik.org/review/reviews/1173620;5;13,92;8,92
https://stepik.org/review/reviews/1173227;5;13,92;8,92
https://stepik.org/review/reviews/1255462;5;13,81;8,81
https://stepik.org/review/reviews/1208642;5;13,76;8,76
https://stepik.org/review/reviews/1207813;4;12,09;8,09
https://stepik.org/review/reviews/1175981;6;13,98;7,98
https://stepik.org/review/reviews/1209408;6;13,98;7,98
https://stepik.org/review/reviews/1201113;6;13,93;7,93
https://stepik.org/review/reviews/1209454;4;11,67;7,67
https://stepik.org/review/reviews/1190213;7;13,99;6,99
https://stepik.org/review/reviews/1201762;7;13,98;6,98
https://stepik.org/review/reviews/1222302;7;13,97;6,97
https://stepik.org/review/reviews/1253501;7;13,95;6,95
https://stepik.org/review/reviews/1211362;7;13,94;6,94
https://stepik.org/review/reviews/1208760;7;13,94;6,94
https://stepik.org/review/reviews/1216284;7;13,94;6,94
https://stepik.org/review/reviews/1253521;7;13,94;6,94
https://stepik.org/review/reviews/1188686;7;13,94;6,94
https://stepik.org/review/reviews/1189423;7;13,93;6,93
https://stepik.org/review/reviews/1180447;7;13,92;6,92
https://stepik.org/review/reviews/1216270;7;13,92;6,92
https://stepik.org/review/reviews/1275342;7;13,92;6,92
https://stepik.org/review/reviews/1189197;7;13,92;6,92
https://stepik.org/review/reviews/1201238;7;13,91;6,91
https://stepik.org/review/reviews/1208742;7;13,9;6,9
https://stepik.org/review/reviews/1221165;7;13,89;6,89
https://stepik.org/review/reviews/1216281;7;13,89;6,89
https://stepik.org/review/reviews/1211350;7;13,87;6,87
https://stepik.org/review/reviews/1176086;7;13,83;6,83
https://stepik.org/review/reviews/1248059;7;13,83;6,83
https://stepik.org/review/reviews/1280570;7;13,79;6,79
https://stepik.org/review/reviews/1209300;7;13,76;6,76
https://stepik.org/review/reviews/1269520;7;13,7;6,7
https://stepik.org/review/reviews/1269553;14;7,4;6,6
https://stepik.org/review/reviews/1272732;1;7,4;6,4
https://stepik.org/review/reviews/1313625;8;13,99;5,99
https://stepik.org/review/reviews/1217482;8;13,99;5,99
https://stepik.org/review/reviews/1197450;8;13,99;5,99
https://stepik.org/review/reviews/1161764;8;13,95;5,95
https://stepik.org/review/reviews/1209699;8;13,95;5,95
https://stepik.org/review/reviews/1207822;8;13,94;5,94
https://stepik.org/review/reviews/1209784;8;13,94;5,94
https://stepik.org/review/reviews/1201202;8;13,94;5,94
https://stepik.org/review/reviews/1210782;8;13,91;5,91
https://stepik.org/review/reviews/1247951;8;13,9;5,9
https://stepik.org/review/reviews/1213340;8;13,9;5,9
https://stepik.org/review/reviews/1254354;8;13,9;5,9
https://stepik.org/review/reviews/1254350;8;13,89;5,89
