step_id;unique_views;unique_successes;total_views;total_successes;total_failures
1258949;806;806;2727;0;0
1258951;688;688;1797;0;0
1258952;659;659;1496;0;0
1258953;651;651;1711;0;0
1258954;556;556;1002;0;0
1258964;548;548;894;0;0
1258965;513;513;1089;0;0
1258967;506;506;877;0;0
1258970;507;507;945;0;0
1258971;474;474;903;0;0
1258973;465;465;844;0;0
1258976;467;467;820;0;0
1258987;549;549;986;0;0
1265485;872;788;1714;789;27
1268657;748;377;2088;382;1243
1269617;946;946;2114;0;0
1269893;762;762;1876;0;0
1269896;724;413;1689;414;1104
1269902;703;487;1398;491;829
1269905;685;559;1262;562;494
1269910;683;484;1281;486;817
1269914;678;550;1162;551;515
1269922;677;533;1132;534;639
1269927;676;578;1138;586;506
1270620;842;802;1386;802;5
1270886;835;791;1284;791;13
1270897;833;742;1294;743;157
1270914;827;793;1194;793;4
1270925;820;786;1164;786;6
1270933;818;773;1179;773;19
1270990;818;818;1424;0;0
1271027;659;659;1168;0;0
1271028;661;568;1150;569;426
1271033;652;574;1044;576;519
1271039;651;572;1027;573;427
1271046;648;549;1030;550;579
1271063;648;554;1014;555;529
1271070;648;533;996;533;634
1271074;646;604;953;604;321
1271092;634;634;950;0;0
1271099;638;580;1006;582;284
1271111;634;556;990;556;596
1271116;632;617;891;617;63
1271131;633;613;902;614;92
1271134;633;557;945;557;616
1271141;633;574;931;575;521
1272016;665;665;3060;0;0
1272050;610;269;2387;281;0
1272268;624;624;1027;0;0
1272269;630;589;1078;591;365
1272292;628;568;1036;568;339
1272294;625;589;966;591;153
1272296;625;572;980;574;436
1272300;625;539;1093;539;669
1272304;622;586;1008;586;226
1272309;622;580;1087;581;265
1272312;622;598;1032;600;131
1272315;622;584;994;585;298
1272319;622;594;960;594;167
1272323;621;601;1017;602;71
1272327;620;527;1039;527;709
1272330;622;583;1045;584;216
1272341;622;599;1042;599;100
1278083;540;540;1418;0;0
1280783;562;562;2105;0;0
1280916;537;537;719;0;0
1280921;543;532;754;534;501
1281631;541;533;701;535;184
1281634;539;530;702;534;655
1281638;540;529;691;533;366
1281651;539;527;694;530;639
1281667;539;530;676;532;246
1281669;538;532;678;535;62
1281691;534;534;670;0;0
1281694;540;530;700;533;575
1281696;538;531;653;532;201
1281697;538;535;662;536;86
1281699;539;529;675;536;466
1281701;538;534;668;536;179
1281702;539;528;674;530;339
1281706;539;528;690;535;601
1281712;536;531;751;533;132
1281714;535;527;734;530;386
1281717;534;527;707;528;162
1281719;536;526;757;528;678
1281721;536;528;716;530;109
1281725;536;524;759;527;768
1281726;536;528;735;530;569
1281727;536;526;731;528;404
1281730;537;524;767;527;441
1281759;523;523;702;0;0
1281820;579;579;1591;0;0
1281821;559;559;948;0;0
1281825;560;533;953;535;697
1281827;556;534;836;537;377
1281828;551;539;791;540;496
1281829;551;540;782;541;255
1281830;551;532;765;534;510
1281831;552;536;756;539;348
1281832;550;528;759;534;814
1281835;551;536;765;538;428
1281837;550;534;736;536;357
1281839;549;526;755;530;467
1282411;503;210;1988;222;2
1302821;510;510;848;0;0
1302831;512;512;1557;0;0
1302943;498;498;635;0;0
1302948;502;473;663;473;253
1303004;502;491;627;491;152
1303011;503;465;633;465;472
1303013;505;474;618;474;300
1303045;500;494;622;494;75
1303052;504;472;656;473;448
1303057;502;494;619;494;51
1303061;502;459;645;460;514
1303108;492;492;673;0;0
1303113;499;458;820;458;441
1303116;494;477;733;477;253
1303121;492;468;700;470;444
1303124;491;478;675;478;283
1303133;492;465;726;465;340
1303137;492;474;738;474;357
1303141;492;473;699;473;195
1303143;492;487;673;488;30
1303149;492;447;751;449;442
1303207;501;501;768;0;0
1303211;506;476;826;477;286
1303217;503;458;747;458;463
1303223;502;469;731;469;400
1303224;505;412;752;412;723
1303231;502;442;707;442;648
1303236;501;483;670;483;219
1303239;501;469;657;469;405
1303245;501;482;654;484;233
1303247;497;497;639;0;0
1303253;501;460;677;461;557
1303257;501;486;646;486;282
1303263;501;469;631;470;282
1303267;500;476;641;476;423
1303270;499;464;630;464;570
1303274;499;462;644;463;555
1310994;469;173;4110;181;0
1328577;476;476;1304;0;0
1328653;468;162;1575;190;0
1342901;464;447;710;450;176
1342905;462;447;608;447;324
1342908;464;406;632;408;384
1342909;463;446;578;446;367
1342911;462;448;578;448;245
1342912;461;436;599;436;501
1342913;461;447;572;448;381
1342919;460;437;576;439;456
1342932;461;423;742;425;541
1342935;459;442;675;442;327
1342940;458;449;640;449;181
1342942;458;448;627;449;210
1342943;458;415;675;415;565
1342946;459;438;677;438;440
1342968;457;422;663;422;440
1342980;459;432;650;432;384
1342984;460;414;652;414;487
1342985;459;436;648;438;415
1342987;455;441;608;443;291
1342991;456;439;630;439;369
1342993;456;434;676;436;526
1342994;455;425;690;425;495
1343004;456;427;665;428;394
1351023;302;302;537;0;0
1351031;291;271;461;271;0
1351032;282;273;393;273;0
1351033;276;270;377;270;0
1351035;275;271;365;273;0
1351037;276;271;361;271;0
1351038;272;268;365;269;0
1351040;273;269;386;270;0
1351044;277;277;593;0;0
