type;id;title;position;seconds_to_complete
course;70810;Формула образования. Школа: ученик, родитель, учитель.;;7162
module;130207;Вводный модуль. ;1;388
module;129762;Фундаментальный взгляд на развитие образования. А.Г. Асмолов;2;2441
module;129763;Современные подходы к образованию. Дима Зицер;3;1336
module;129764;Работа с семьями: консультирование детей и родителей;4;1139
module;129765;Педагогика современности: инструменты и ресурсы;5;1556
module;135455; Завершающий модуль (бонус).;6;302
lesson;347108;Педагогические ситуации;1;388
lesson;345697;Образование и воспитание в меняющемся мире;1;534
lesson;345698;"Ценность образования и ""образовательный дефолт""";2;378
lesson;345699;Генерирование возможностей образования;3;330
lesson;345700;Психология перемен;4;445
lesson;348201;Педагогическое эссе;5;754
lesson;350141;Как сегодня нужно учить: авторское мнение;1;473
lesson;345701;Возможно, изоляция — это последний раз, когда вы с детьми вместе;2;215
lesson;345704;Почему метод «поставить ребёнка на место» не работает;3;239
lesson;345715;Педагогика творчества;4;260
lesson;349897;Педагогическое эссе;5;149
lesson;345705;Навигация, консультирование родителей, воспитывающих детей;1;325
lesson;345706;Психолог - о детях в изоляции, подростковой агрессии и не только;2;249
lesson;354030;Крайности воспитания;3;228
lesson;345708;Сохранение эмоционального здоровья ребенка в карантин;4;256
lesson;354032;Педагогическое эссе;5;81
lesson;345709;Инструменты новой практики;1;340
lesson;345710;Универсальные компетентности и новая грамотность;2;234
lesson;345711;Школа на дистанте. Удачные моменты;3;264
lesson;358946;Виртуальные уроки педагогов Липецкой области;4;718
lesson;363300;Педагогические ситуации. Личный взгляд педагога.;1;302
step;1269617;T1;1;35
step;1265485;Q2;2;72
step;1270620;Q3;3;46
step;1270886;Q4;4;36
step;1270897;Q5;5;51
step;1270914;Q6;6;42
step;1270925;Q7;7;27
step;1270933;Q8;8;37
step;1270990;T9;9;42
step;1258949;T1;1;60
step;1269893;T2;2;15
step;1268657;Q3;3;111
step;1269896;Q4;4;62
step;1269902;Q5;5;62
step;1269905;Q6;6;48
step;1269910;Q7;7;49
step;1269914;Q8;8;43
step;1269922;Q9;9;40
step;1269927;Q10;10;44
step;1258951;T1;1;47
step;1271027;T2;2;10
step;1271028;Q3;3;39
step;1271033;Q4;4;45
step;1271039;Q5;5;60
step;1271046;Q6;6;42
step;1271063;Q7;7;53
step;1271070;Q8;8;48
step;1271074;Q9;9;34
step;1258952;T1;1;29
step;1271092;T2;2;7
step;1271099;Q3;3;40
step;1271111;Q4;4;74
step;1271116;Q5;5;33
step;1271131;Q6;6;29
step;1271134;Q7;7;62
step;1271141;Q8;8;56
step;1258953;T1;1;29
step;1272268;T2;2;7
step;1272269;Q3;3;36
step;1272292;Q4;4;31
step;1272294;Q5;5;17
step;1272296;Q6;6;34
step;1272300;Q7;7;44
step;1272304;Q8;8;27
step;1272309;Q9;9;35
step;1272312;Q10;10;25
step;1272315;Q11;11;25
step;1272319;Q12;12;23
step;1272323;Q13;13;21
step;1272327;Q14;14;39
step;1272330;Q15;15;33
step;1272341;Q16;16;19
step;1272016;T1;1;102
step;1272050;Q2;2;642
step;1278083;T3;3;10
step;1281820;T1;1;32
step;1281821;T2;2;7
step;1281825;Q3;3;51
step;1281827;Q4;4;34
step;1281828;Q5;5;60
step;1281829;Q6;6;22
step;1281830;Q7;7;61
step;1281831;Q8;8;38
step;1281832;Q9;9;57
step;1281835;Q10;10;33
step;1281837;Q11;11;33
step;1281839;Q12;12;45
step;1258954;T1;1;26
step;1280916;T2;2;5
step;1280921;Q3;3;34
step;1281631;Q4;4;21
step;1281634;Q5;5;37
step;1281638;Q6;6;23
step;1281651;Q7;7;32
step;1281667;Q8;8;22
step;1281669;Q9;9;15
step;1258964;T1;1;18
step;1281691;T2;2;4
step;1281694;Q3;3;37
step;1281696;Q4;4;19
step;1281697;Q5;5;15
step;1281699;Q6;6;31
step;1281701;Q7;7;30
step;1281702;Q8;8;35
step;1281706;Q9;9;50
step;1258987;T1;1;16
step;1281759;T2;2;4
step;1281712;Q3;3;20
step;1281714;Q4;4;32
step;1281717;Q5;5;17
step;1281719;Q6;6;36
step;1281721;Q7;7;14
step;1281725;Q8;8;40
step;1281726;Q9;9;31
step;1281727;Q10;10;25
step;1281730;Q11;11;25
step;1280783;T1;1;35
step;1282411;Q2;2;114
step;1258965;T1;1;20
step;1303207;T2;2;5
step;1303211;Q3;3;40
step;1303217;Q4;4;37
step;1303223;Q5;5;39
step;1303224;Q6;6;46
step;1303231;Q7;7;55
step;1303236;Q8;8;27
step;1303239;Q9;9;31
step;1303245;Q10;10;25
step;1258967;T1;1;13
step;1303247;T2;2;4
step;1303253;Q3;3;37
step;1303257;Q4;4;32
step;1303263;Q5;5;47
step;1303267;Q6;6;39
step;1303270;Q7;7;42
step;1303274;Q8;8;35
step;1302821;T1;1;10
step;1302943;T2;2;3
step;1302948;Q3;3;26
step;1303004;Q4;4;23
step;1303011;Q5;5;45
step;1303013;Q6;6;30
step;1303045;Q7;7;16
step;1303052;Q8;8;32
step;1303057;Q9;9;15
step;1303061;Q10;10;28
step;1258970;T1;1;9
step;1303108;T2;2;3
step;1303113;Q3;3;41
step;1303116;Q4;4;20
step;1303121;Q5;5;33
step;1303124;Q6;6;27
step;1303133;Q7;7;24
step;1303137;Q8;8;28
step;1303141;Q9;9;21
step;1303143;Q10;10;16
step;1303149;Q11;11;34
step;1302831;T1;1;22
step;1310994;Q2;2;59
step;1258971;T1;1;17
step;1342901;Q2;2;30
step;1342905;Q3;3;46
step;1342908;Q4;4;48
step;1342909;Q5;5;41
step;1342911;Q6;6;35
step;1342912;Q7;7;40
step;1342913;Q8;8;35
step;1342919;Q9;9;48
step;1258973;T1;1;16
step;1342932;Q2;2;42
step;1342935;Q3;3;25
step;1342940;Q4;4;23
step;1342942;Q5;5;20
step;1342943;Q6;6;35
step;1342946;Q7;7;35
step;1342968;Q8;8;38
step;1258976;T1;1;12
step;1342980;Q2;2;30
step;1342984;Q3;3;38
step;1342985;Q4;4;42
step;1342987;Q5;5;23
step;1342991;Q6;6;28
step;1342993;Q7;7;32
step;1342994;Q8;8;26
step;1343004;Q9;9;33
step;1328577;T1;1;19
step;1328653;Q2;2;699
step;1351023;T1;1;20
step;1351031;Q2;2;53
step;1351032;Q3;3;50
step;1351033;Q4;4;31
step;1351035;Q5;5;39
step;1351037;Q6;6;40
step;1351038;Q7;7;30
step;1351040;Q8;8;38
step;1351044;T9;9;1
